movie_id,f_rep,percent_profit,vote_average
9549,0.2667,79.63,7.5
9552,0.5000,5516.33,7.6
9559,0.4000,450.44,7.4
9571,0.3636,115.84,7.5
9693,0.4545,92.05,7.6
9800,0.4167,794.92,7.7
9806,0.1429,686.35,7.7
9912,0.2000,NULL,7.6
10020,0.2857,1509.40,7.7
10110,0.2000,190.57,7.5
10161,0.2500,2285.16,7.7
10191,0.3000,299.93,7.7
10193,0.2000,533.48,7.8
10229,0.5000,402.50,7.6
10242,0.5000,NULL,8.1
10315,0.1429,116.18,7.7
10322,0.2000,NULL,7.7
10331,0.3333,26315.79,7.7
10377,0.1111,582.62,7.4
10386,0.2727,33.08,7.8
10400,0.0769,147.91,7.4
10435,0.5000,NULL,7.5
10549,0.2500,NULL,7.5
10633,0.1667,1369.00,7.8
10637,0.2000,455.69,7.6
10654,0.2500,NULL,7.4
10674,0.3636,338.13,7.9
10681,0.2500,289.62,8
10683,0.5000,93.58,7.5
10705,0.2222,NULL,7.4
10747,0.2000,859.46,7.5
10774,0.1250,623.42,7.9
10778,0.2500,NULL,7.6
10787,0.5000,NULL,7.5
10843,0.5000,235.76,7.4
10849,0.4444,70.88,7.4
10907,0.4000,195.82,7.6
10938,0.6667,NULL,7.5
10950,0.7778,420.65,7.5
11005,0.3333,NULL,7.8
11030,0.3333,NULL,7.5
11031,0.3000,189.45,7.6
11036,0.4545,398.63,7.9
11040,0.1429,210.40,7.7
11046,0.2500,272.73,7.6
11113,0.5000,423.95,7.6
11159,0.7143,298.16,7.5
11171,0.3333,NULL,7.6
11206,0.2500,275.00,7.5
11293,0.4000,1236.00,7.9
11305,0.2500,NULL,7.4
11321,0.4444,305.76,7.6
11324,0.2500,368.51,8.1
11356,0.3333,NULL,7.7
11362,0.1429,215.41,7.4
11368,0.4000,256.79,7.5
11426,0.2500,1848.48,7.4
11474,0.2500,562.25,7.6
11481,1.0000,NULL,7.5
11544,0.3333,182.21,7.4
11545,0.3750,189.96,7.5
11549,0.5000,NULL,7.5
11562,0.5385,96.08,7.6
11575,0.3333,211.11,7.5
11610,0.5000,NULL,7.6
11615,0.5000,77.91,7.4
11663,0.6667,NULL,7.4
11686,0.3333,672.46,7.8
11688,0.2000,169.33,7.5
11697,0.1818,250.00,7.7
11704,0.3333,209.51,7.5
11778,0.2857,333.33,8
11798,0.2000,343.55,7.6
11816,0.3333,NULL,7.5
11881,0.3333,NULL,7.4
11901,0.1429,285.45,7.5
11969,0.0500,226.02,7.5
11970,0.2857,297.31,7.5
12102,0.3333,1328.25,7.5
12163,0.2500,745.07,7.4
12219,0.1111,NULL,7.7
12405,0.2500,2519.40,7.7
12444,0.3056,381.72,7.8
12445,0.4000,1073.60,8.1
12501,0.4286,NULL,7.8
12837,0.7143,346.41,7.4
13002,0.6000,NULL,7.4
13008,0.3333,NULL,7.4
13223,0.1667,818.06,7.9
13377,1.0000,NULL,7.4
13466,0.1667,NULL,7.6
13475,0.2439,257.12,7.4
13528,0.6667,NULL,7.4
13689,0.4286,NULL,7.4
14160,0.1111,420.06,7.9
14283,0.3333,52.75,7.6
14291,0.2500,NULL,7.4
14534,0.2857,189.59,7.4
14551,0.1429,NULL,7.4
14574,0.1667,163.33,7.8
14580,0.5000,NULL,7.8
14698,0.5000,NULL,7.4
14784,1.0000,12.23,7.7
14836,0.4000,207.66,7.5
15121,0.6000,3490.42,7.6
15764,0.2500,250.30,7.5
16234,0.3750,NULL,7.6
16320,0.3333,99.67,7.4
16372,0.5000,NULL,7.6
16391,1.0000,NULL,7.7
16563,0.5000,NULL,7.4
16619,0.1429,NULL,7.6
16642,0.2000,NULL,7.7
16858,0.3333,NULL,7.4
16869,0.1579,455.90,8.1
16958,0.2000,NULL,7.6
17159,0.5000,NULL,7.4
17431,0.4000,195.20,7.6
17483,1.0000,NULL,7.7
17663,1.0000,NULL,8.3
18197,0.3333,NULL,7.7
19101,0.3333,NULL,7.6
19542,1.0000,NULL,8.2
19995,0.3571,1176.36,7.4
20139,0.7500,NULL,8
20246,0.2500,NULL,7.4
20283,0.1250,869.57,7.4
21450,0.6000,NULL,7.6
21634,0.2500,NULL,7.9
